ABSTRACT target   words,,,ABSTRACT target   words,,,concrete   objects (SIZE-MATCHED triplets),,
,BIG,,,SMALL,,Word 1,Word 2,Word 3
Having,zeal,is like a(n),Being,meek,is like a(n),crab,crow,frog
To,roar,is like a(n),Being,hush,is like a(n),actor,nurse,guard
To,bang,is like a(n),Being,tidy,is like a(n),reindeer,kangaroo,antelope
Being,loud,is like a(n),A,hint,is like a(n),runner,dancer,banker
Being,rich,is like a(n),,Pity,is like a(n),piston,mallet,pelvis
Being,huge,is like a(n),Being,rare,is like a(n),astronomer,chimpanzee,bridegroom
Being,wide,is like a(n),Being,soon,is like a(n),shawl,spade,broom
Being,sure,is like a(n),Being,near,is like a(n),kite,veil,tyre
To,boast,is like a(n),To,amuse,is like a(n),yeast,ashes,paste
Having,greed,is like a(n),,Haste,is like a(n),lace,heel,fork
To,smash,is like a(n),To,shrug,is like a(n),perfume,sausage,compass
A,quest,is like a(n),Being,frail,is like a(n),blender,beehive,ketchup
Having,agony,is like a(n),Being,bland,is like a(n),plug,fork,lace
Having,gloom,is like a(n),Being,weird,is like a(n),glove,flask,flute
Being,eager,is like a(n),A,trick,is like a(n),peach,flute,badge
Having,glory,is like a(n),A,pause,is like a(n),beaker,wrench,binder
Being,brave,is like a(n),A,trace,is like a(n),wallet,banana,sweets
,Panic,is like a(n),Being,tight,is like a(n),syringe,thistle,spinach
Having,pride,is like a(n),Being,minor,is like a(n),peas,mint,pill
Having,anger,is like a(n),Being,brief,is like a(n),toe,peg,bee
,Shock,is like a(n),The,least,is like a(n),plum,oats,kiwi
The,truth,is like a(n),Being,quiet,is like a(n),confetti,tweezers,dandruff
Being,heavy,is like a(n),A,piece,is like a(n),sailor,golfer,archer
,Trust,is like a(n),Being,short,is like a(n),carrot,oyster,clover
To,marvel,is like a(n),A,prefix,is like a(n),conductor,messenger,carpenter
To,thrill,is like a(n),A,rumour,is like a(n),altar,attic,wagon
Being,brutal,is like a(n),Being,scarce,is like a(n),parsley,compass,perfume
To,admire,is like a(n),Being,humble,is like a(n),bulb,coke,foil
,Genius,is like a(n),Being,polite,is like a(n),boot,lamp,tray
,Misery,is like a(n),A,remark,is like a(n),archer,brewer,cowboy
,Terror,is like a(n),To,bother,is like a(n),wand,pear,hoof
,Wisdom,is like a(n),An,excuse,is like a(n),toad,lark,mink
,Virtue,is like a(n),To,assist,is like a(n),dish,tray,shoe
,Honour,is like a(n),A,phrase,is like a(n),infirmary,waterfall,submarine
An,empire,is like a(n),An,aspect,is like a(n),sailor,runner,waiter
,Wealth,is like a(n),Being,unique,is like a(n),ankle,wrist,elbow
A,crisis,is like a(n),Being,narrow,is like a(n),tomato,candle,potato
A,career,is like a(n),A,minute,is like a(n),lantern,trumpet,bouquet
To,prosper,is like a(n),Being,thrifty,is like a(n),compass,whistle,plaster
Being,gallant,is like a(n),To,flutter,is like a(n),pamphlet,slippers,scissors
To,torment,is like a(n),A,pronoun,is like a(n),camera,bottle,pocket
An,expanse,is like a(n),To,flicker,is like a(n),mint,nuts,lime
A,dynasty,is like a(n),Being,literal,is like a(n),balloon,sweater,harness
Being,eternal,is like a(n),An,impulse,is like a(n),chin,keys,leaf
A,miracle,is like a(n),A,glimpse,is like a(n),beaker,tripod,chisel
,Liberty,is like a(n),A,portion,is like a(n),brother,teacher,speaker
,Courage,is like a(n),An,episode,is like a(n),convoy,bomber,meadow
,Passion,is like a(n),Being,shallow,is like a(n),parcel,pillow,poster
To,demolish,is like a(n),Being,cowardly,is like a(n),pill,cork,nail
,Infinity,is like a(n),,Mischief,is like a(n),flea,lice,slug
An,epidemic,is like a(n),A,syllable,is like a(n),bulb,flap,claw
,Devotion,is like a(n),A,reminder,is like a(n),spine,rifle,blade
,Paradise,is like a(n),Being,intimate,is like a(n),admiral,surgeon,fighter
Having,ambition,is like a(n),An,instance,is like a(n),goblet,piston,burner
A,disaster,is like a(n),An,incident,is like a(n),garlic,pepper,cherry
