ABSTRACT target   words,,,ABSTRACT target   words,,,concrete   objects (SIZE-VARYING triplets),,
,BIG,,,SMALL,,Big,Medium,Small
Having,zeal,is like a(n),Being,meek,is like a(n),lake,pack,belt
To,roar,is like a(n),Being,hush,is like a(n),monument,wardrobe,notebook
To,bang,is like a(n),Being,tidy,is like a(n),campus,armour,gloves
Being,loud,is like a(n),A,hint,is like a(n),statue,trophy,gravel
Being,rich,is like a(n),,Pity,is like a(n),beach,motor,plate
Being,huge,is like a(n),Being,rare,is like a(n),galaxy,heater,cavity
Being,wide,is like a(n),Being,soon,is like a(n),hippo,llama,skunk
Being,sure,is like a(n),Being,near,is like a(n),ballroom,tapestry,ornament
To,boast,is like a(n),To,amuse,is like a(n),sky,van,bag
Having,greed,is like a(n),,Haste,is like a(n),temple,guitar,flower
To,smash,is like a(n),To,shrug,is like a(n),lagoon,pulpit,walnut
A,quest,is like a(n),Being,frail,is like a(n),cinema,carpet,button
Having,agony,is like a(n),Being,bland,is like a(n),ship,bath,card
Having,gloom,is like a(n),Being,weird,is like a(n),fort,sofa,cork
Being,eager,is like a(n),A,trick,is like a(n),mansion,luggage,compass
Having,glory,is like a(n),A,pause,is like a(n),airplane,crossbow,dandruff
Being,brave,is like a(n),A,trace,is like a(n),skyline,hallway,biscuit
,Panic,is like a(n),Being,tight,is like a(n),rhino,zebra,snail
Having,pride,is like a(n),Being,minor,is like a(n),ocean,canal,clock
Having,anger,is like a(n),Being,brief,is like a(n),tanker,anchor,banana
,Shock,is like a(n),The,least,is like a(n),dinosaur,pheasant,mosquito
The,truth,is like a(n),Being,quiet,is like a(n),yacht,ivory,pearl
Being,heavy,is like a(n),A,piece,is like a(n),giraffe,cheetah,hamster
,Trust,is like a(n),Being,short,is like a(n),comet,duvet,acorn
To,marvel,is like a(n),A,prefix,is like a(n),rocket,boiler,sponge
To,thrill,is like a(n),A,rumour,is like a(n),auditorium,passageway,toothbrush
Being,brutal,is like a(n),Being,scarce,is like a(n),pyramid,bicycle,whistle
To,admire,is like a(n),Being,humble,is like a(n),boulder,grenade,thistle
,Genius,is like a(n),Being,polite,is like a(n),tsunami,bayonet,padlock
,Misery,is like a(n),A,remark,is like a(n),spaceship,projector,raspberry
,Terror,is like a(n),To,bother,is like a(n),whale,vicar,trout
,Wisdom,is like a(n),An,excuse,is like a(n),canyon,galley,pebble
,Virtue,is like a(n),To,assist,is like a(n),circus,fridge,pencil
,Honour,is like a(n),A,phrase,is like a(n),abbey,swing,sauce
An,empire,is like a(n),An,aspect,is like a(n),swamp,aisle,thorn
,Wealth,is like a(n),Being,unique,is like a(n),mosque,plough,fungus
A,crisis,is like a(n),Being,narrow,is like a(n),stadium,costume,nucleus
A,career,is like a(n),A,minute,is like a(n),fortress,radiator,chestnut
To,prosper,is like a(n),Being,thrifty,is like a(n),tree,suit,spot
Being,gallant,is like a(n),To,flutter,is like a(n),carnival,suitcase,pamphlet
To,torment,is like a(n),A,pronoun,is like a(n),city,door,hand
An,expanse,is like a(n),To,flicker,is like a(n),mob,axe,nut
A,dynasty,is like a(n),Being,literal,is like a(n),crater,cooker,rattle
Being,eternal,is like a(n),An,impulse,is like a(n),volcano,parlour,sausage
A,miracle,is like a(n),A,glimpse,is like a(n),typhoon,hammock,blister
,Liberty,is like a(n),A,portion,is like a(n),meadow,cellar,garlic
,Courage,is like a(n),An,episode,is like a(n),airport,cottage,matches
,Passion,is like a(n),Being,shallow,is like a(n),railroad,bookcase,bracelet
To,demolish,is like a(n),Being,cowardly,is like a(n),cyclone,thicket,whisker
,Infinity,is like a(n),,Mischief,is like a(n),castle,dinner,bottle
An,epidemic,is like a(n),A,syllable,is like a(n),woods,sword,patch
,Devotion,is like a(n),A,reminder,is like a(n),tower,chest,apple
,Paradise,is like a(n),Being,intimate,is like a(n),motorway,calendar,bacteria
Having,ambition,is like a(n),An,instance,is like a(n),tornado,carcass,syringe
A,disaster,is like a(n),An,incident,is like a(n),throne,hammer,needle
