Words,Length,AROU,CNC,SIZE
,,M,M,M
abattoir,8,4.2,5.455,4.652
abbey,5,3.125,5.906,5.121
abbreviate,10,3.273,3.286,2.667
abdicate,8,4.194,3.367,4.679
abdication,10,3.846,3.292,5.083
abdomen,7,4.714,6.606,3.529
abdominal,9,3.875,5.735,3.788
abduct,6,4.677,4.441,4.438
abducted,8,5.344,4.813,5.161
abduction,9,5.324,4.912,5.059
aberration,10,4.852,3.208,4.72
abide,5,3.875,2.485,4.033
ability,7,5.471,2.941,5.029
able,4,4.853,3.182,4.4
abode,5,3.897,4.464,4.148
abortion,8,3.914,5.364,4.939
abroad,6,6.548,4.559,5.5
abrupt,6,4.794,2.829,4.4
absorb,6,4.484,3.188,3.719
abstract,8,4.743,1.714,4.324
absurd,6,5.452,2.065,4.531
absurdly,8,4.515,2.515,4.727
abundance,9,4.714,3.229,6.143
abundant,8,5.235,3,5.758
abuse,5,4.879,3.419,4.743
abuser,6,5.059,4.667,5.486
abyss,5,6.226,3.177,6.242
academic,8,5.733,4.03,5.515
accelerate,10,6.794,4.5,4.849
accent,6,5.529,3.6,4.029
accept,6,5.182,3.313,4.4
acceptance,10,4.743,2.794,5.343
access,6,4.121,3.455,3.879
accident,8,5.4,4.343,4.971
accidental,10,4.382,2.941,4.029
accordion,9,4,6.5,3.543
accountant,10,2.9,5.813,3.966
accuse,6,5.742,2.344,4.967
accused,7,4.765,3.088,4.314
ace,3,5.735,3.219,4.182
ache,4,5.167,3.515,3.613
aches,5,4.063,3.813,3.968
achieve,7,6.424,2.879,5.233
achieved,8,6.143,2.5,5.343
achievement,11,6.333,2.879,5.71
acorn,5,4.364,6.724,1.879
acquire,7,4.419,3.059,4.086
acrobat,7,5.182,5.875,3.618
activate,8,5.242,3.677,4.212
active,6,6.531,3.75,4.774
activity,8,6.086,3.97,4.429
actor,5,5.515,5.7,4.455
actress,7,5.719,6.031,4.147
actual,6,4.121,3.118,4.206
actually,8,4.294,2.677,4.029
acute,5,4.235,3.235,2.677
adage,5,3.118,3.588,3.647
adapt,5,4.188,3.114,4.2
add,3,4,4.286,3.714
addict,6,4.857,4.4,4.771
addicted,8,6.094,3.515,5.484
addition,8,3.4,3.677,4.314
address,7,3.206,5.059,3.912
address (postal),7,3.546,5.581,3.471
address (speak to),7,4,4.114,4.171
adequate,8,3.778,2.5,3.794
adjective,9,3.636,3.594,3.455
adjust,6,4.364,3.094,3.758
admiral,7,5.029,5.706,4.909
admire,6,6.294,2.71,4.625
admired,7,6.6,2.882,4.971
adopt,5,4.387,3.645,4.452
adorable,8,6.936,2.258,4.31
adore,5,6.516,2.344,4.936
adult,5,5.059,4.933,4.452
adultery,8,5.912,4.029,5.324
adults,6,4.559,5.457,4.571
advanced,8,5.382,2.765,5.088
advantage,9,6.531,2.879,5.258
adventure,9,7.853,2.912,6.118
adverb,6,2.938,3.314,3.147
adverse,7,4.371,2.455,4.765
adversity,9,4.8,2.484,5.167
advice,6,4.088,2.353,4.212
advise,6,4.182,3.697,4.323
advisor,7,3.364,5.353,4.061
advisors,8,3.606,4.71,4.71
aeroplane,9,4.914,6.706,5.882
afar,4,3.781,3,4.471
affair,6,5.969,3.394,4.758
